Latitude,Longitude
0.303008,32.5859
0.326709,32.6111
0.312568,32.5844
0.314328,32.5907
0.318327,32.5979
0.314328,32.5907
0.318327,32.5979
0.319656,32.5954
0.345471,32.597
0.353326,32.6112
0.329705,32.573
0.324873,32.5598
0.344577,32.6475
0.335004,32.5484
0.300075,32.6474
0.300703,32.5927
0.299694,32.5763
0.290965,32.5715
0.292749,32.5652
0.294608,32.5528
0.300775,32.537
0.338856,32.5864
0.256445,32.6047
0.293152,32.5703
0.303846,32.5743
0.306472,32.6007
0.303521,32.6442
0.34354,32.5711
0.353475,32.563
0.357433,32.5736
0.366769,32.5595
0.35637,32.6152
0.351992,32.6609
0.353842,32.6714
0.370198,32.717
0.385158,32.6441
0.240893,32.6198
0.301142,32.528
0.314081,32.5646
0.319445,32.5634
0.348025,32.5711
0.343737,32.5696
0.385317,32.6261
0.394259,32.6324
0.372376,32.5219
0.311459,32.5596
0.306871,32.5799
0.267818,32.566
0.299488,32.5088
0.326848,32.4681
0.360711,32.7527
0.408671,32.629
0.437535,32.602
0.388203,32.552
0.364569,32.5848
0.367432,32.5976
0.360719,32.5312
0.234764,32.5532
0.265721,32.6246
0.30992,32.5775
0.289392,32.5705
0.459889,32.6375
0.408329,32.6423
0.39384,32.5001
0.266858,32.5461
0.224783,32.6018
0.21127,32.542
0.201041,32.5395
0.296485,32.5053
0.313893,32.5975
0.348445,32.563
0.374789,32.6437
0.460311,32.6059
0.417322,32.6593
0.327728,32.6056
0.251332,32.5613
0.368317,32.7117
0.35429,32.563
0.381396,32.5877
0.310415,32.5774
0.315821,32.5774
0.345001,32.6425
0.386196,32.593
0.293263,32.5723
0.262684,32.617
0.283206,32.5677
0.273167,32.5468
0.298105,32.5359
0.314628,32.5658
0.309092,32.5564
0.312559,32.5863
0.333367,32.5732
0.334574,32.5767
0.315987,32.5927
0.296898,32.615
0.32036,32.6174
0.327006,32.6044
0.329027,32.6124
0.341862,32.6155
0.352824,32.6101
0.335812,32.5728
0.338745,32.5635
0.352338,32.563
0.302458,32.5405
0.301395,32.6019
0.298107,32.599
0.272106,32.6178
0.378943,32.5654
0.373031,32.5763
0.375323,32.5864
0.345131,32.5961
0.362832,32.6252
0.358462,32.6484
0.306849,32.599
0.341129,32.6319
0.288942,32.5778
0.319847,32.5633
0.341173,32.5839
0.309396,32.5783
0.301052,32.5927
0.373798,32.6492
0.390956,32.6588
0.429813,32.6471
0.319712,32.5664
0.306194,32.5172
0.337279,32.5145
0.355317,32.5347
0.367855,32.5234
0.282175,32.4517
0.290615,32.4986
0.292864,32.5704
0.290526,32.5752
0.4009,32.5455
0.396769,32.6384
0.436662,32.6022
0.449269,32.6116
0.228958,32.5466
0.250517,32.6262
0.287006,32.6072
0.346995,32.6494
0.353606,32.672
0.38082,32.5566
0.424427,32.6216
0.359648,32.69
0.411724,32.4609
0.373004,32.5763
0.411062,32.5718
0.388516,32.6431
0.396041,32.7004
0.359729,32.7487
0.250358,32.626
0.27538,32.5903
0.24077,32.57719
0.22084,32.57142
0.2072,32.56565
0.20878,32.5924
0.21087,32.51898
0.22346,32.51373
0.23867,32.50744
0.24601,32.47492
0.24234,32.48908
0.25702,32.5195
0.26437,32.48594
0.28587,32.53733
0.31314,32.54153
0.32205,32.50377
0.30947,32.48174
0.31524,32.46444
0.34356,32.52999
0.31156,32.53209
0.33359,32.48961
0.31576,32.49433
0.35457,32.498
0.35981,32.47283
0.33202,32.45447
0.38918,32.52317
0.40019,32.55988
0.40544,32.51793
0.42642,32.50219
0.44372,32.55149
0.41645,32.59607
0.40334,32.60236
0.36611,32.67211
0.38079,32.68575
0.35981,32.66477
0.32205,32.63855
0.28639,32.61967
0.30108,32.62386
0.33412,32.68994
0.3273,32.72403
0.36978,32.69309
